,,,,,
disease,miRNA,beta,standard error,z-value,p-value
VaD,MIMAT0016921,1.66,0.35,4.76,1.89E-06
VaD,MIMAT0018004,1.59,0.38,4.24,2.28E-05
VaD,MIMAT0018099,2.15,0.49,4.36,1.30E-05
VaD,MIMAT0018359,1.88,0.41,4.64,3.56E-06
VaD,MIMAT0019209,1.71,0.40,4.24,2.27E-05
VaD,MIMAT0019789,1.64,0.37,4.39,1.12E-05
VaD,MIMAT0019792,2.25,0.53,4.26,2.02E-05
VaD,MIMAT0019820,1.92,0.47,4.12,3.75E-05
VaD,MIMAT0019826,1.88,0.45,4.23,2.30E-05
VaD,MIMAT0019839,1.90,0.44,4.30,1.74E-05
VaD,MIMAT0019849,4.57,0.97,4.70,2.54E-06
VaD,MIMAT0019850,2.11,0.50,4.18,2.88E-05
VaD,MIMAT0019854,2.45,0.60,4.07,4.75E-05
VaD,MIMAT0019883,1.11,0.27,4.06,5.01E-05
VaD,MIMAT0019923,1.74,0.43,4.02,5.76E-05
VaD,MIMAT0021129,2.70,0.58,4.68,2.85E-06
VaD,MIMAT0022491,0.81,0.20,4.05,5.13E-05
VaD,MIMAT0022496,1.07,0.26,4.10,4.12E-05
VaD,MIMAT0022731,1.99,0.43,4.65,3.36E-06
VaD,MIMAT0022732,1.41,0.34,4.19,2.75E-05
VaD,MIMAT0023712,2.92,0.66,4.44,9.03E-06
VaD,MIMAT0023713,2.54,0.60,4.26,2.08E-05
VaD,MIMAT0025479,1.34,0.32,4.22,2.42E-05
VaD,MIMAT0025845,0.97,0.24,4.10,4.19E-05
VaD,MIMAT0025848,1.58,0.38,4.16,3.13E-05
VaD,MIMAT0027026,2.03,0.47,4.28,1.84E-05
VaD,MIMAT0027027,1.90,0.43,4.45,8.40E-06
VaD,MIMAT0027354,1.89,0.44,4.31,1.60E-05
VaD,MIMAT0027370,1.17,0.28,4.16,3.18E-05
VaD,MIMAT0027384,1.72,0.37,4.61,4.05E-06
VaD,MIMAT0027423,1.65,0.37,4.42,9.97E-06
VaD,MIMAT0027425,1.51,0.34,4.43,9.64E-06
VaD,MIMAT0027455,3.29,0.71,4.64,3.56E-06
VaD,MIMAT0027459,1.53,0.38,4.05,5.20E-05
VaD,MIMAT0027469,2.99,0.59,5.02,5.09E-07
VaD,MIMAT0027475,1.31,0.32,4.11,3.97E-05
VaD,MIMAT0027479,1.15,0.28,4.06,4.90E-05
VaD,MIMAT0027495,1.73,0.41,4.18,2.91E-05
VaD,MIMAT0027503,2.64,0.59,4.49,7.14E-06
VaD,MIMAT0027507,2.15,0.47,4.55,5.28E-06
VaD,MIMAT0027509,2.07,0.48,4.30,1.71E-05
VaD,MIMAT0027512,2.35,0.58,4.07,4.68E-05
VaD,MIMAT0027519,1.57,0.38,4.15,3.31E-05
VaD,MIMAT0027527,1.62,0.39,4.14,3.49E-05
VaD,MIMAT0027530,1.21,0.30,4.06,4.81E-05
VaD,MIMAT0027549,1.87,0.45,4.14,3.42E-05
VaD,MIMAT0027551,3.72,0.73,5.13,2.91E-07
VaD,MIMAT0027559,1.00,0.25,4.05,5.03E-05
VaD,MIMAT0027573,1.38,0.34,4.07,4.66E-05
VaD,MIMAT0027591,2.32,0.50,4.61,4.02E-06
VaD,MIMAT0027593,1.46,0.35,4.21,2.61E-05
VaD,MIMAT0027615,1.64,0.39,4.16,3.21E-05
VaD,MIMAT0027635,1.72,0.40,4.26,2.04E-05
VaD,MIMAT0027641,1.63,0.39,4.21,2.50E-05
VaD,MIMAT0027655,1.82,0.44,4.15,3.33E-05
VaD,MIMAT0027657,1.03,0.25,4.17,3.05E-05
VaD,MIMAT0027671,1.76,0.39,4.54,5.65E-06
VaD,MIMAT0027673,1.31,0.32,4.13,3.70E-05
VaD,MIMAT0027687,1.71,0.37,4.63,3.69E-06
VaD,MIMAT0028110,1.78,0.44,4.03,5.67E-05
VaD,MIMAT0028116,1.84,0.44,4.19,2.80E-05
VaD,MIMAT0028120,1.47,0.36,4.12,3.86E-05
VaD,MIMAT0028126,2.15,0.50,4.28,1.84E-05
DLB,MIMAT0000228,1.07,0.29,3.75,1.74E-04
DLB,MIMAT0002176,0.96,0.27,3.48,4.97E-04
DLB,MIMAT0003283,1.26,0.29,4.32,1.59E-05
DLB,MIMAT0003881,1.12,0.27,4.14,3.46E-05
DLB,MIMAT0003888,1.69,0.48,3.50,4.67E-04
DLB,MIMAT0004687,1.45,0.40,3.62,2.90E-04
DLB,MIMAT0004780,1.72,0.41,4.24,2.25E-05
DLB,MIMAT0004950,1.72,0.42,4.10,4.18E-05
DLB,MIMAT0004970,0.89,0.25,3.53,4.09E-04
DLB,MIMAT0004979,0.92,0.26,3.56,3.73E-04
DLB,MIMAT0005584,1.29,0.35,3.70,2.13E-04
DLB,MIMAT0005588,1.48,0.35,4.19,2.79E-05
DLB,MIMAT0005593,1.81,0.51,3.51,4.52E-04
DLB,MIMAT0005865,1.64,0.45,3.66,2.48E-04
DLB,MIMAT0006765,1.11,0.32,3.49,4.87E-04
DLB,MIMAT0006790,1.31,0.30,4.41,1.01E-05
DLB,MIMAT0007349,1.27,0.34,3.68,2.30E-04
DLB,MIMAT0007884,1.54,0.43,3.61,3.10E-04
DLB,MIMAT0009451,1.50,0.40,3.78,1.59E-04
DLB,MIMAT0011778,0.74,0.21,3.58,3.43E-04
DLB,MIMAT0013518,1.46,0.35,4.22,2.49E-05
DLB,MIMAT0014984,1.87,0.42,4.46,8.02E-06
DLB,MIMAT0014995,1.58,0.37,4.31,1.60E-05
DLB,MIMAT0015024,1.10,0.32,3.43,6.02E-04
DLB,MIMAT0015052,0.95,0.26,3.67,2.47E-04
DLB,MIMAT0016852,1.74,0.50,3.46,5.37E-04
DLB,MIMAT0016875,2.13,0.46,4.60,4.19E-06
DLB,MIMAT0016888,0.69,0.18,3.89,1.01E-04
DLB,MIMAT0016896,1.23,0.31,4.02,5.74E-05
DLB,MIMAT0016909,1.14,0.33,3.43,5.93E-04
DLB,MIMAT0016915,1.41,0.34,4.17,3.07E-05
DLB,MIMAT0016921,1.12,0.29,3.89,9.88E-05
DLB,MIMAT0017982,0.82,0.23,3.53,4.08E-04
DLB,MIMAT0018001,1.12,0.33,3.42,6.31E-04
DLB,MIMAT0018004,1.22,0.32,3.85,1.19E-04
DLB,MIMAT0018005,1.15,0.30,3.78,1.60E-04
DLB,MIMAT0018065,0.69,0.18,3.75,1.73E-04
DLB,MIMAT0018359,1.12,0.33,3.42,6.21E-04
DLB,MIMAT0018360,1.07,0.31,3.44,5.76E-04
